date,epu_index,GC=F,^NDX
2022-11-16,107.83,,
2022-11-17,91.22,,
2022-11-18,133.39,,
2022-11-21,122.23,,
2022-11-22,125.51,,
2022-11-23,183.38,,
2022-11-25,189.26,,
2022-11-28,183.05,,
2022-11-29,90.52,,
2022-11-30,89.9,,
2022-12-01,177.11,,
2022-12-02,48.03,,
2022-12-05,187.14,,
2022-12-06,105.68,,
2022-12-07,151.37,,
2022-12-08,81.81,,
2022-12-09,114.31,,
2022-12-12,169.7,,
2022-12-13,122.35,,
2022-12-14,120.9,,
2022-12-15,114.95,,
2022-12-16,99.07,,
2022-12-19,87.27,,
2022-12-20,72.84,,
2022-12-21,147.63,,
2022-12-22,98.69,,
2022-12-23,84.14,,
2022-12-27,69.63,,
2022-12-28,85.9,,
2022-12-29,123.69,,
2022-12-30,199.3,,
2023-01-03,117.51,,
2023-01-04,114.2,,
2023-01-05,176.01,,
2023-01-06,158.88,,
2023-01-09,152.46,,
2023-01-10,386.4,,
2023-01-11,363.54,,
2023-01-12,189.12,,
2023-01-13,141.9,,
2023-01-17,73.48,,
2023-01-18,310.22,,
2023-01-19,106.09,,
2023-01-20,119.89,,
2023-01-23,326.16,,
2023-01-24,123.28,,
2023-01-25,113.38,,
2023-01-26,72.53,,
2023-01-27,110.89,,
2023-01-30,190.98,,
2023-01-31,158.19,,
2023-02-01,137.21,,
2023-02-02,116.99,,
2023-02-03,115.81,,
2023-02-06,219.03,,
2023-02-07,190.34,,
2023-02-08,139.63,,
2023-02-09,129.06,,
2023-02-10,99.82,,
2023-02-13,70.05,,
2023-02-14,105.73,,
2023-02-15,200.6,,
2023-02-16,223.17,,
2023-02-17,97.82,,
2023-02-21,68.9,,
2023-02-22,140.33,,
2023-02-23,188.33,,
2023-02-24,82.35,,
2023-02-27,130.62,,
2023-02-28,88.38,,
2023-03-01,79.33,,
2023-03-02,158.83,,
2023-03-03,90.05,,
2023-03-06,88.74,,
2023-03-07,97.28,,
2023-03-08,71.68,,
2023-03-09,99.01,,
2023-03-10,167.33,,
2023-03-13,226.43,,
2023-03-14,246.38,,
2023-03-15,165.53,,
2023-03-16,191.67,,
2023-03-17,236.53,,
2023-03-20,158.68,,
2023-03-21,102.69,,
2023-03-22,215.3,,
2023-03-23,190,,
2023-03-24,163.72,,
2023-03-27,141.81,,
2023-03-28,117.77,,
2023-03-29,127.01,,
2023-03-30,82.78,,
2023-03-31,144.99,,
2023-04-03,150.38,,
2023-04-04,154.53,,
2023-04-05,108.51,,
2023-04-06,40.4,,
2023-04-10,116.65,,
2023-04-11,155.38,,
2023-04-12,109.82,,
2023-04-13,258.05,,
2023-04-14,38.2,,
2023-04-17,51.34,,
2023-04-18,186.52,,
2023-04-19,128.99,,
2023-04-20,98.98,,
2023-04-21,118.21,,
2023-04-24,149.57,,
2023-04-25,111.25,,
2023-04-26,135.07,,
2023-04-27,157.01,,
2023-04-28,94.05,,
2023-05-01,435.03,,
2023-05-02,249.56,,
2023-05-03,139.92,,
2023-05-04,105,,
2023-05-05,100.93,,
2023-05-08,311.34,,
2023-05-09,163.06,,
2023-05-10,69.51,,
2023-05-11,155.22,,
2023-05-12,190.28,,
2023-05-15,99.1,,
2023-05-16,67.14,,
2023-05-17,113.54,,
2023-05-18,210.79,,
2023-05-19,111.5,,
2023-05-22,398.71,,
2023-05-23,156.99,,
2023-05-24,301.54,,
2023-05-25,237.84,,
2023-05-26,220.29,,
2023-05-30,111.1,,
2023-05-31,264.79,,
2023-06-01,108.62,,
2023-06-02,96.48,,
2023-06-05,133.01,,
2023-06-06,62.63,,
2023-06-07,119,,
2023-06-08,96.83,,
2023-06-09,58.14,,
2023-06-12,204.38,,
2023-06-13,110.96,,
2023-06-14,147.42,,
2023-06-15,71,,
2023-06-16,56.58,,
2023-06-20,213.08,,
2023-06-21,65.39,,
2023-06-22,72.75,,
2023-06-23,74.02,,
2023-06-26,150.9,,
2023-06-27,127.96,,
2023-06-28,152.99,,
2023-06-29,117.91,,
2023-06-30,96.85,,
2023-07-03,65.32,,
2023-07-05,137.28,,
2023-07-06,40.77,,
2023-07-07,93.53,,
2023-07-10,39.18,,
2023-07-11,37.82,,
2023-07-12,89.22,,
2023-07-13,75.95,,
2023-07-14,206.65,,
2023-07-17,155.95,,
2023-07-18,104.21,,
2023-07-19,37.11,,
2023-07-20,260.18,,
2023-07-21,80.78,,
2023-07-24,105.67,,
2023-07-25,37.76,,
2023-07-26,220.51,,
2023-07-27,95.33,,
2023-07-28,82.35,,
2023-07-31,81.19,,
2023-08-01,151.79,,
2023-08-02,121.59,,
2023-08-03,62.21,,
2023-08-04,60.58,,
2023-08-07,59.3,,
2023-08-08,49.89,,
2023-08-09,77.25,,
2023-08-10,46.74,,
2023-08-11,170.3,,
2023-08-14,236.53,,
2023-08-15,53.33,,
2023-08-16,128.55,,
2023-08-17,101.81,,
2023-08-18,36.93,,
2023-08-21,130.14,,
2023-08-22,52.69,,
2023-08-23,141.21,,
2023-08-24,76.47,,
2023-08-25,137.35,,
2023-08-28,70.13,,
2023-08-29,69.2,,
2023-08-30,66.94,,
2023-08-31,167.14,,
2023-09-01,57.38,,
2023-09-05,66.39,,
2023-09-06,41.02,,
2023-09-07,95.66,,
2023-09-08,37.05,,
2023-09-11,82.18,,
2023-09-12,99.71,,
2023-09-13,132.91,,
2023-09-14,111.69,,
2023-09-15,63.69,,
2023-09-18,63.82,,
2023-09-19,146.72,,
2023-09-20,82.86,,
2023-09-21,106.49,,
2023-09-22,42.8,,
2023-09-25,14.69,,
2023-09-26,143.47,,
2023-09-27,150.04,,
2023-09-28,111.89,,
2023-09-29,136.08,,
2023-10-02,77.03,,
2023-10-03,100.4,,
2023-10-04,181.95,,
2023-10-05,47.99,,
2023-10-06,95.46,,
2023-10-09,264.13,,
2023-10-10,143.27,,
2023-10-11,192.77,,
2023-10-12,189.71,,
2023-10-13,58.76,,
2023-10-16,136.3,,
